SKU, Name, Supply Phase 1, Supply Phase 2 , Supply Phase 3, Supply Phase 4, Supply Phase 5 , LLC Pricing, Description, IsActive
18155,1 x 6 - 16 #2 Borate Treated,Lumber|Treated|Borate Treated|#2 Grade,,,,,,1 x 6 - 16 #2 Borate Treated,Yes
18156,1 x 6 - 8 #2 Borate Treated,Lumber|Treated|Borate Treated|#2 Grade,,,,,,1 x 6 - 8 #2 Borate Treated,Yes
18157,1 x 8 - 10 #2 Borate Treated,Lumber|Treated|Borate Treated|#2 Grade,,,,,,1 x 8 - 10 #2 Borate Treated,Yes
18158,1 x 8 - 12 #2 Borate Treated,Lumber|Treated|Borate Treated|#2 Grade,,,,,,1 x 8 - 12 #2 Borate Treated,Yes
18159,1 x 8 - 14 #2 Borate Treated,Lumber|Treated|Borate Treated|#2 Grade,,,,,,1 x 8 - 14 #2 Borate Treated,Yes
18160,1 x 8 - 16 #2 Borate Treated,Lumber|Treated|Borate Treated|#2 Grade,,,,,,1 x 8 - 16 #2 Borate Treated,Yes
18161,1 x 8 - 8 #2 Borate Treated,Lumber|Treated|Borate Treated|#2 Grade,,,,,,1 x 8 - 8 #2 Borate Treated,Yes
18162,2 x 10 - 10 #2 Borate Treated,Lumber|Treated|Borate Treated|#2 Grade,,,,,,2 x 10 - 10 #2 Borate Treated,Yes
18163,2 x 10 - 13 #2 Borate Treated,Lumber|Treated|Borate Treated|#2 Grade,,,,,,2 x 10 - 13 #2 Borate Treated,Yes
18164,2 x 10 - 14 #2 Borate Treated,Lumber|Treated|Borate Treated|#2 Grade,,,,,,2 x 10 - 14 #2 Borate Treated,Yes
18165,2 x 10 - 16 #2 Borate Treated,Lumber|Treated|Borate Treated|#2 Grade,,,,,,2 x 10 - 16 #2 Borate Treated,Yes
18166,2 x 10 - 8 #2 Borate Treated,Lumber|Treated|Borate Treated|#2 Grade,,,,,,2 x 10 - 8 #2 Borate Treated,Yes
18278,2 x 4 R/L #2 Borate Treated (12' - 16'),Lumber|Treated|Borate Treated|#2 Grade,,,,,,2 x 4 R/L #2 Borate Treated (12' - 16'),Yes
18279,2 x 6 R/L #2 Borate Treated (12' - 16'),Lumber|Treated|Borate Treated|#2 Grade,,,,,,2 x 6 R/L #2 Borate Treated (12' - 16'),Yes
19646,2 x 4 - R/L #3 Borate Treated ,Lumber|Treated|Borate Treated|#3 Grade,,,,,,2 x 4 - R/L #3 Borate Treated ,Yes
51292,2 x 4 - 18' #2 Borate Treated ,Lumber|Treated|Borate Treated|#2 Grade,,,,,,2 x 4 - 18' #2 Borate Treated ,Yes
51293,2 x 6 - 18' #2 Borate Treated ,Lumber|Treated|Borate Treated|#2 Grade,,,,,,2 x 6 - 18' #2 Borate Treated ,Yes
51458,2 x 6 R/L #3 Borate Treated (12' - 16'),Lumber|Treated|Borate Treated|#3 Grade,,,,,,2 x 6 R/L #3 Borate Treated (12' - 16'),Yes
56503,1 x 4 - 8' #2 Borate Treated,Lumber|Treated|Borate Treated|#2 Grade,,,,,,1 x 4 - 8' #2 Borate Treated,Yes
56504,1 x 6 - 8' #2 Borate Treated,Lumber|Treated|Borate Treated|#2 Grade,,,,,,1 x 6 - 8' #2 Borate Treated,Yes
56505,1 x 6 - 10' #2 Borate Treated,Lumber|Treated|Borate Treated|#2 Grade,,,,,,1 x 6 - 10' #2 Borate Treated,Yes
56506,1 x 8 - 8' #2 Borate Treated,Lumber|Treated|Borate Treated|#2 Grade,,,,,,1 x 8 - 8' #2 Borate Treated,Yes
56507,1 x 8 - 10' #2 Borate Treated,Lumber|Treated|Borate Treated|#2 Grade,,,,,,1 x 8 - 10' #2 Borate Treated,Yes
