Vendor SKU,Vendor Price,CBUSA SKU,Product Name
2081406,10.8,11343,2 x 8 - 14' #2 Pressure Treated
2081606,12.9,11344,2 x 8 - 16' #2 Pressure Treated
2080806,6.11,11347,2 x 8 - 8' #2 Pressure Treated
4041006,11.77,11348,4 x 4 - 10' #2 Pressure Treated
4041206,13.37,11349,4 x 4 - 12' #2 Pressure Treated
4061006,14.37,11354,4 x 6 - 10' #2 Pressure Treated
4061206,18.75,11355,4 x 6 - 12' #2 Pressure Treated
4061606,23.58,11357,4 x 6 - 16' #2 Pressure Treated
4060806,11.77,11360,4 x 6 - 8' #2 Pressure Treated
5461006,5.75,11372,5/4 x 6 - 10' #2 Pressure Treated
5461606,9.75,11375,5/4 x 6 - 16' #2 Pressure Treated
2049301,2.37,11402,"2 x 4 - 93"" Pre-Cut SPF"
,3.02,11403,"2 x 4 - 105"" Pre-Cut SPF"
2411701,3.78,11404,"2 x 4 - 117"" Pre-Cut SPF"
2069301,3.4,11405,"2 x 6 - 93"" Pre-Cut SPF"
2610501,5.15,11406,"2 x 6 - 105"" Pre-Cut SPF"
2611701,5.71,11407,"2 x 6 - 117"" Pre-Cut SPF"
1041672,8.77,11659,1 x 4 - 16' Primed 4-Sides FJ
7375700,0,11990,5/16 x 7-1/4 - 12' Plycem/Allura  FiberTect Sealed Lap Siding - Cedar
1232200,0,11994,5/16 x 8-1/4 - 12' Plycem/Allura  FiberTect Sealed Lap Siding - Cedar
,0,11995,5/16 x 8-1/4 - 12' Plycem/Allura  FiberTect Sealed Lap Siding - Smooth
7384700,8.29,12004,5/16 x 8-1/4 - 12' HardiePlank Lap Siding - Select Cedarmill
,0,12006,5/16 x 8-1/4 - 12' HardiePlank Lap Siding - Smooth
,0,12023,1/4 x 12 - 12' Non-Vented HardieSoffit Panel - Select Cedarmill
9999915,11.25,12024,1/4 x 12 - 12' Non-Vented HardieSoffit Panel - Smooth
,0,12025,1/4 x 12 - 12' Vented HardieSoffit Panel - Select Cedarmill
9999911,15.2,12026,1/4 x 12 - 12' Vented HardieSoffit Panel - Smooth
,0,12027,1/4 x 16 - 12' Non-Vented HardieSoffit Panel - Select Cedarmill
,0,12028,1/4 x 16 - 12' Non-Vented HardieSoffit Panel - Smooth
,0,12029,1/4 x 16 - 12' Vented HardieSoffit Panel - Select Cedarmill
,0,12030,1/4 x 16 - 12' Vented HardieSoffit Panel - Smooth
,0,12031,1/4 x 24 - 8' Non-Vented HardieSoffit Panel - Select Cedarmill
,0,12032,1/4 x 24 - 8' Non-Vented HardieSoffit Panel - Smooth
,0,12033,1/4 x 24 - 8' Vented HardieSoffit Panel - Select Cedarmill
,0,12034,1/4 x 24 - 8' Vented HardieSoffit Panel - Smooth
,0,12035,1/4 x 48 - 8' Non-Vented HardieSoffit Panel - Select Cedarmill
,0,12036,1/4 x 48 - 8' Non-Vented HardieSoffit Panel - Smooth
1451372,22.91,12116,4/4 x 10 - 16' MiraTEC Primed Reversible Trim
1451172,26.23,12117,4/4 x 12 - 16' MiraTEC Primed Reversible Trim
1451672,36.15,12118,4/4 x 16 - 16' MiraTEC Primed Reversible Trim
1450272,9.19,12121,4/4 x 4 - 16' MiraTEC Primed Reversible Trim
1450372,11.08,12122,4/4 x 5 - 16' MiraTEC Primed Reversible Trim
1450472,13.52,12123,4/4 x 6 - 16' MiraTEC Primed Reversible Trim
1451272,17.48,12124,4/4 x 8 - 16' MiraTEC Primed Reversible Trim
1450972,27.22,12125,5/4 x 10 - 16' MiraTEC Primed Reversible Trim
1451072,33.21,12126,5/4 x 12 - 16' MiraTEC Primed Reversible Trim
