Builder , Total Bids , Active Bids , Awarded Bids , Awarded Total(In $)
"Sabre Commercial, Inc.",56,56,0,0
Saussy Burbank Homes - Raleigh,1,1,0,0
"Saxena Custom Homes 100, LLC",15,5,5,55728
Scarlett Custom Homes,10,9,1,17221
Schaeffer Family Homes,4,4,0,0
Schwartz Custom Homes,24,24,0,0
Sekas Homes,4,4,0,0
Sendero Homes,12,11,0,0
Shawn Forth Custom Homes,3,3,0,0
"Soledad Builders, LLC",101,101,0,0
"Spectrum - Evergreen Homes, Inc.",1,1,0,0
St James Plantation,1,1,0,0
"Sterling Brook Homes, LLC",14,13,0,0
Stewart Construction & Development Co.,1,1,0,0
Stiffel Homes LLC,5,2,0,0
Structures Building Company,3,3,0,0
Sugar Creek Homes,1,1,0,0
SugarOak Corporation,34,34,0,0
Summit Built Homes,1,1,0,0
Sundance Development,28,26,2,19565
"Taurus Enterprises, Inc.",43,23,20,206268.68
Timberidge Custom Homes,1,1,0,0
"Tradition Homes, LLC",1,1,0,0
"Trafalgar Homes of Texas, LLC",1,1,0,0
Tranquility Homes,13,3,10,31625.87
Travis Creek Homes LLC,4,4,0,0
Unique Builders,6,6,0,0
University Group,12,10,2,11917
Uptmore LLC dba Uptmore Custom Homes,3,3,0,0
V Fine Homes,2,2,0,0
V Fine Homes - DAL,1,1,0,0
Victor Myers Custom Homes,96,82,12,103895.32
Village Homes,1,1,0,0
Vision Design & Build,68,67,1,4236
Wexford Homes,22,22,0,0
Williams-Hirsch Custom Builders,7,7,0,0
"Wiseman Builders, LLC",60,49,7,51638
Zbranek & Holt Custom Homes,14,14,0,0
