CBUSA Catalog
Report generated on 7/27/2017

CBUSA SKU,Product Name
10240,2 x 12 - 20' #2 SYP
10241,2 x 12 - 22' #2 SYP
10242,2 x 12 - 24' #2 SYP
10245,2 x 12 - 8' #2 SYP
10619,2-1/2 x 16 - 24' GPI 65 I-Joist
10621,2-1/2 x 16 - 28' GPI 65 I-Joist
10623,2-1/2 x 16 - 32' GPI 65 I-Joist
10625,2-1/2 x 16 - 36' GPI 65 I-Joist
10629,2-1/2 x 16 R/L GPI 65 I-Joist
17025,Wind & Water Seal  (3' x 50')
10848,2-5/16 x 11-7/8 - 22' TJI 230 Joist
10858,2-5/16 x 11-7/8 R/L TJI 230 Joist
10880,2-5/16 x 14 R/L TJI 230 Joist
10902,2-5/16 x 16 R/L TJI 230 Joist
10903,2-5/16 x 16 R/L TJI 360 Joist
10978,1-3/4 x 11-7/8 - 10' LVL
10979,1-3/4 x 11-7/8 - 12' LVL
10980,1-3/4 x 11-7/8 - 14' LVL
10981,1-3/4 x 11-7/8 - 16' LVL
10982,1-3/4 x 11-7/8 - 18' LVL
10983,1-3/4 x 11-7/8 - 20' LVL
10984,1-3/4 x 11-7/8 - 22' LVL
10985,1-3/4 x 11-7/8 - 24' LVL
10986,1-3/4 x 11-7/8 - 26' LVL
10987,1-3/4 x 11-7/8 - 28' LVL
10988,1-3/4 x 11-7/8 - 30' LVL
10989,1-3/4 x 11-7/8 - 32' LVL
10990,1-3/4 x 11-7/8 - 34' LVL
10991,1-3/4 x 11-7/8 - 36' LVL
10992,1-3/4 x 11-7/8 - 38' LVL
10993,1-3/4 x 11-7/8 - 40' LVL
10994,1-3/4 x 11-7/8 - 6' LVL
10995,1-3/4 x 11-7/8 - 8' LVL
10996,1-3/4 x 11-7/8 1.9E LVL Beam(Price per Linear Foot)
10997,1-3/4 x 14 - 10' LVL
10998,1-3/4 x 14 - 12' LVL
10999,1-3/4 x 14 - 14' LVL
11000,1-3/4 x 14 - 16' LVL
11001,1-3/4 x 14 - 18' LVL
11002,1-3/4 x 14 - 20' LVL
11003,1-3/4 x 14 - 22' LVL
11004,1-3/4 x 14 - 24' LVL
11005,1-3/4 x 14 - 26' LVL
11006,1-3/4 x 14 - 28' LVL
11007,1-3/4 x 14 - 30' LVL
11008,1-3/4 x 14 - 32' LVL
11009,1-3/4 x 14 - 34' LVL
11010,1-3/4 x 14 - 36' LVL
11011,1-3/4 x 14 - 38' LVL
11012,1-3/4 x 14 - 40' LVL
11013,1-3/4 x 14 - 6' LVL
11014,1-3/4 x 14 - 8' LVL
11015,1-3/4 x 14 1.9E LVL Beam(Price per Linear Foot)
11016,1-3/4 x 16 - 10' LVL
11017,1-3/4 x 16 - 12' LVL
11018,1-3/4 x 16 - 14' LVL
11019,1-3/4 x 16 - 16' LVL
11020,1-3/4 x 16 - 18' LVL
11021,1-3/4 x 16 - 20' LVL
11022,1-3/4 x 16 - 22' LVL
11023,1-3/4 x 16 - 24' LVL
11024,1-3/4 x 16 - 26' LVL
11025,1-3/4 x 16 - 28' LVL
11026,1-3/4 x 16 - 30' LVL
11027,1-3/4 x 16 - 32' LVL
11028,1-3/4 x 16 - 34' LVL
11029,1-3/4 x 16 - 36' LVL
11030,1-3/4 x 16 - 38' LVL
11031,1-3/4 x 16 - 40' LVL
11032,1-3/4 x 16 - 6' LVL
